ARMOR_BONUS,ATTACK_BONUS,ATTRIBUTE,ATTRIBUTE_LABEL,BASE_MANA_COST,BOARD_POSITION_RELATIVE,BOARD_POSITION_RELATIVE_LABEL,CANNOT_RECEIVE_OWNED,CANNOT_RECEIVE_OWNED_LABEL,CARD_DESC_TYPE,CARD_DESC_TYPE_LABEL,CARD_LOCATION,CARD_LOCATION_LABEL,CARD_TYPE,CARD_TYPE_LABEL,CLASS,CLASS_LABEL,EXCLUSIVE,EXCLUSIVE_LABEL,FULL_MANA_CRYSTALS,FULL_MANA_CRYSTALS_LABEL,HERO_CLASS,HERO_CLASS_LABEL,HOW_MANY,HP_BONUS,MANA,MANA_MODIFIER,OPERATION,OPERATION_LABEL,RANDOM_TARGET,RANDOM_TARGET_LABEL,RANK,RARITY,RARITY_LABEL,SECONDARY_VALUE,SUB_SPELL_COUNT,SUB_SPELL_PROBABILITY,SUB_SPELL_RANK,SUB_TRIGGER_COUNT,SUB_TRIGGER_PROBABILTY,SUB_TRIGGER_RANK,SUMMON_BASE_ATTACK,SUMMON_BASE_HP,SUMMON_CHARGE,SUMMON_CHARGE_LABEL,SUMMON_DIVINE_SHIELD,SUMMON_DIVINE_SHIELD_LABEL,SUMMON_RACE,SUMMON_STEALTH,SUMMON_STEALTH_LABEL,SUMMON_TAUNT,SUMMON_TAUNT_LABEL,SUMMON_TRIGGERS,SUMMON_WINDFURY,SUMMON_WINDFURY_LABEL,TARGET_PLAYER,TARGET_PLAYER_LABEL,TARGET_SELECTION,TARGET_SELECTION_LABEL,VALUE
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,3,3,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,3,,,,,,,,,,,21,ConditionalSpell,,,,,0,ANY,,,,,,,,,1,1,COMMON,,10,1.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,3,,,,,,,,,,,59,MetaSpell,,,,,0,ANY,,,,,,,,,2,1,COMMON,,9,1.0,3,,,,,,,,,,,,,,,,,,,,,,
,1,,,3,,,,,,,,,,,9,BuffSpell,,,,,0,ANY,,1,,,,,,,3,1,COMMON,,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,84,ReceiveRandomCardSpell,,,,,0,ANY,,,,,,,,,3,1,COMMON,,7,1.0,4,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,9,BuffSpell,,,,,0,ANY,,1,,,,,,,4,0,FREE,,0,0.0,5,,,,,,,,,,,,,,,,,,,,3,MINIONS,
,,16,FROZEN,1,,,,,,,,,,,0,AddAttributeSpell,,,,,0,ANY,,,,,,,,,4,0,FREE,,0,0.0,5,,,,,,,,,,,,,,,,,,,,3,MINIONS,
,,36,STEALTH,1,,,,,,,,,,,0,AddAttributeSpell,,,,,0,ANY,,,,,,,,,4,0,FREE,,0,0.0,5,,,,,,,,,,,,,,,,,,,,7,FRIENDLY_MINIONS,
,,,,1,,,,,,,,,,,114,SwapAttackAndHpSpell,,,,,0,ANY,,,,,,,,,4,0,FREE,,0,0.0,5,,,,,,,,,,,,,,,,,,,,3,MINIONS,
,,22,TAUNT,1,,,,,,,,,,,0,AddAttributeSpell,,,,,0,ANY,,,,,,,,,4,0,FREE,,0,0.0,5,,,,,,,,,,,,,,,,,,,,3,MINIONS,
