# HSReplay Standard meta decks (2026-03)
# Format: DeckName|Deckstring
Dragon Warrior|AAECAQcEi6AEzp4GhJ0H07IHDeqoBuPmBqr8Bqv8BveDB+iHB9KXB56ZB5KkB7etB5iwB4+xB+yyBwAA
Ravenous Cliff Dive Demon Hunter|AAECAea5AwjHpAbJsAayuAb6wAaCmAeKqgeSqgeTqgcLgIUEw7AGqrgG18AG9sAGwf4G3v8G/oMHtpcHh5wH0a8HAAED9bMGx6QG97MGx6QG6N4Gx6QGAAA=
Broxigar Demon Hunter|AAECAea5AwiAhQTHpAb6wAb8wAaCmAeKqgeSqgeTqgcL4fgFw7AGqrgG9sAGwf4G3v8GtpcHh5wH0a8H4rEH6LEHAAED9bMGx6QG97MGx6QG6N4Gx6QGAAA=
Aggro Paladin|AAECAZ8FAA/JoASe1ASU9QWV9QW1ngbUngbeugaUvwaf4Qbt5gbI/wa6lgfXlwe8mgeKsQcAAA==
Aura Paladin|AAECAZ8FDMekBs2pBrHBBuHrBvD+BsODB4KYB+6oB++oB/CoB+usB4qxBwnJoASV9QXOqQbRqQbI/wa6lgfLqQfErge+sgcAAQP1swbHpAb3swbHpAbo3gbHpAYAAA==
Elemental Mage|AAECAf0EAA/9ngSyngbTngbipgaozgbb4wbt5gaZ6gbf6gbHhweblgeflgfOmweHnAeLsQcAAA==
Libram Paladin|AAECAZ8FCsekBs2pBtGpBsnlBqXoBqrqBoKYB+6oB++oB/CoBwqV9QXi3wbt3waS4Aac6Aaf6Aai6Aa6lgfErge+sgcAAQP1swbHpAb3swbHpAbo3gbHpAYAAA==
Corpse Death Knight|AAECAfHhBAzHpAaouAbC6AbO8Qap9QahgQeSgwfDgwesiAeDigeCmAftnwcJmIEF/7oG3esGtfoGl4IHupUHh5wH0q0H4rEHAAED9bMGx6QG97MGx6QG6N4Gx6QGAAA=
Midrange Shaman|AAECAaoICoCgBMekBqilBtSlBq3hBuHrBoKYB9umB9+mB+WmBwqopwaBuAbDvgaEvwbOwAbQwAbZwAbR0Abmlge8sQcAAQP1swbHpAb3swbHpAbo3gbHpAYAAA==
Quest Warrior|AAECAQcMx6QGjr8G+skGquoGg4oH7o8H1JcH25cHgpgHhJ0HyqsHi74HCYigBImgBI7UBIegBvPKBrDiBraUB+qnB/yvBwABA/WzBsekBvezBsekBujeBsekBgAA
Face Hunter|AAECAR8EmacHmqcHm6cHxbEHDaqfBPGlBv+lBpKmBoa/BozBBtfzBq+SB4WVB5CnB5inB7WtB9SvBwAA
Protoss Priest|AAECAa0GAtfSBsODBw6tigTOwAaMwQaL1gbz4QaL9AaQ9AaY9Aaz9AbF+AbK+AbFlAe1lgfSrwcAAA==
BBU Control Death Knight|AAECAfHhBAyH9gTHpAaouAbm5QbC6Aaq6gbO8Qap9QaSgwfDgweDigeCmAcJmIEF/7oGtfoGgf0Gl4IHupUHh5wH4bEH4rEHAAED9bMGx6QG97MGx6QG6N4Gx6QGAAA=
Quest Paladin|AAECAZ8FBJbTBuH0Bt2UB6+wBw21nwTu0wSV9QW1ngbUnga35gagjAeGlQeHlQe6lgehlwe9mQftrAcAAA==
Deathrattle Death Knight|AAECAfHhBAy9sQa6wQaq6gbp7Qap9QbDgwfvkwfblweCmAf1mAeZsQeosQcJ5uUGvugGtfoG/fwGgf0GloIHl4IHupUHga4HAAA=
Protoss Mage|AAECAf0ECJygBLHOBuPPBpP0Bqn1BtuXB4KYB5mxBwve+AW0pwaBvwaG5gaL9AaM9AaQ9AaZ9Aaa9Aad9AazhwcAAA==
Spell Demon Hunter|AAECAea5Awa0oATj+AWKqgeSqgeTqgensQcM4fgFwrAGw7AGr+EG3v8G/oMHtJcHtpcHnrEHobEHv7EHwLEHAAA=
Discover Hunter|AAECAR8Kvb4Gp9MG3OMG4uMGw4MHg4oHmacHmqcHm6cHxbEHCqmfBKqfBJygBNOeBsK+Boa/Bs7ABtDABpXiBq3rBgAA
Handbuff Death Knight|AAECAfHhBASz9wSXgge8lAfCsQcNh/YEubEGurEG9rEGi7cG/7oGz7wGkMsG1+UG2eUGr5UHupUH4rEHAAA=
Imbue Rogue|AAECAaIHCMekBpfXBrXqBuHrBvKDB4KYB9GdB92vBwv2nwT3nwS2tQbq5Qb3gQeQgweMrQfHrgfZrweaswe6swcAAQP1swbHpAb3swbHpAbo3gbHpAYAAA==
Shred Warlock|AAECAf0GAse4BqjKBg6EoATqqAb/ugbHyQb/yQbj8Qb3gweEmQeirQekrQelrQenrQeorQebsAcAAA==
Azshara Druid|AAECAZICCsekBquxBtW6Bp3jBuHrBq+HB4KYB/ioB/moB/qoBwqunwSB1ASRvwbzygat4gaQlweqrwesrwfosQe+sgcAAQP1swbHpAb3swbHpAbo3gbHpAYAAA==
Thief Rogue|AAECAaIHBoukBfTJBozWBoaoB4eoB4ioBwyRnwT2nwT3nwTTngbWngatpwa5wQaR5gbO/gbBlwfmowftrAcAAA==
Taunt Druid|AAECAZICCsekBqqxBvnlBuHrBq+HB4KYB/WYB/ioB/moB/qoBwqunwSkuwbQygbzygat4gb75QaHnAfZngeqrwesrwcAAQP1swbHpAb3swbHpAbo3gbHpAYAAA==
Zarimi Priest|AAECAa0GDK2KBIakBcekBsOoBumoBsDmBqrqBqn1BtuXB4KYB8qrB4utBwnqqAbrqAaAuAbe2Aa2lAeSpAebrQfjrQeYsAcAAQP1swbHpAb3swbHpAbo3gbHpAYAAA==
Imbue Paladin|AAECAZ8FBqrqBuHrBrSBB/KDB7aUB+usBwycnwTunwTJoATW+gah+wbP/gbv/gbI/wb3gQfCjwfDjweIrQcAAA==
Aviana Druid|AAECAZICBKqxBvPKBqDjBq+HBw2unwTZsQbDugbVugai4gar4gat4gb35QaggQeIgweQlweqrwesrwcAAA==
Aviana Druid 2|AAECAZICBKqxBtW6BqDjBpKDBw2unwTDugbzygai4gat4gb35QaggQeIgweQlweqrwesrwfosQe+sgcAAA==
Nature Shaman|AAECAaoIBK3hBtumB9+mB+WmBw2vnwSc1ASopwbOwAbR0Abmlgftqgfvqgfwqgfxqgf1rAeArQe8sQcAAA==
Rafaam Warlock|AAECAf0GEMekBqfTBsODB9uXB4KYB4ilB4mlB4qlB5GlB5OlB5SlB5WlB5alB5elB5qlB6etBwzTngbqqAaGvwb3gweEmQfemweHnAfenQeirQelrQeorQeYsAcAAQP1swbHpAb3swbHpAbo3gbHpAYAAA==
